UnitID,Institution Name,Long-term investments (F1213_F2),Property  Plant  and Equipment  net of accumulated depreciation (F1213_F2),Intangible Assets  net of accumulated amortization (F1213_F2),Total assets (F1213_F2),Total liabilities (F1213_F2),Debt related to Property  Plant  and Equipment (F1213_F2),Total unrestricted net assets (F1213_F2),Total restricted net assets (F1213_F2),Permanently restricted net assets included in total restricted net assets (F1213_F2),Temporarily restricted net assets (F1213_F2),Total net assets (F1213_F2),Total revenues and investment return (F1213_F2),Total expenses (F1213_F2),Other specific changes in net assets (F1213_F2),Total change in net assets (F1213_F2),Net assets  beginning of the year (F1213_F2),Adjustments to beginning of year net assets (F1213_F2),Net assets  end of the year (F1213_F2),Investment return - Total (F1213_F2)
120795,Pacific School of Religion,39243942,2258680,0,43953917,2615668,0,3619365,37718884,27998414,9720470,41338249,9404373,7268060,0,2136313,39201936,0,41338249,4865029
120838,Pacific States University,0,1149997,36993,4173185,1015671,517149,3157114,400,0,400,3157514,3634896,2605789,0,1029107,2128407,0,3157514,0
120865,Pacific Union College,16267447,29276706,6693317,90418271,39871062,8731182,23564240,26982969,16316248,10666721,50547209,47031345,46824728,1532294,1738911,48808298,0,50547209,539358
209612,Pacific University,62517263,119573990,0,224673746,104627213,78911003,68846455,51200078,35964323,15235755,120046533,102739102,95288955,42202,7492349,112554184,0,120046533,6101986
140720,Paine College,8381188,22395527,0,37211456,17721536,10133289,9264971,10224949,5088376,5136573,19489920,19849621,19589144,-70914,189563,19300357,0,19489920,0
136330,Palm Beach Atlantic University,47137474,99536633,0,202964281,51526734,39700000,86794553,64642994,16874439,47768555,151437547,76980263,67875059,0,9105204,142332343,0,151437547,8072563
154174,Palmer College of Chiropractic-Davenport,48069563,65573665,0,147710963,44757964,0,71168829,31784170,13555842,18228328,102952999,77655964,63920464,0,13735500,89217499,0,102952999,3454762
120698,Palo Alto University,1064416,8454025,0,21536933,8496065,0,11428017,1612851,681822,931029,13040868,24692987,24584931,0,108056,12932812,0,13040868,14282
121628,Pardee RAND Graduate School,,,,,,,,,,,,,,,,,,,697178
178721,Park University,12810925,50787053,0,133822950,36063329,21780778,57585092,40174529,31826254,8348275,97759621,84285836,71975341,0,12310495,85449126,0,97759621,2923227
243823,Parker University,29121663,7673748,0,42682252,3047566,79086,38571817,1062869,510915,551954,39634686,33227377,29982731,0,3244646,36390040,0,39634686,2032418
227429,Paul Quinn College,2421208,11574635,0,18178476,3427616,0,10498531,4252329,4866633,-614304,14750860,8022986,7503328,0,519658,14231202,0,14750860,247078
194392,Paul Smiths College of Arts and Science,22290171,51963622,432548,77559891,23829479,18976715,39707869,14022543,11314617,2707926,53730412,29292131,26543912,0,2748219,50982193,0,53730412,1816671
204990,Payne Theological Seminary,0,2277541,0,2473674,1216313,868185,1227653,29708,0,29708,1257361,2018866,1850020,-10214,158632,1098729,0,1257361,145
214883,Peirce College,56695,13193484,0,36044042,9639460,2336459,23746845,2657737,219415,2438322,26404582,23645262,20918593,0,2726669,23677913,0,26404582,2066322
214971,Pennsylvania Academy of the Fine Arts,14161362,46026605,0,75067943,23537135,18750000,26729548,24801260,24412352,388908,51530808,15279841,15351958,0,-72117,51602925,0,51530808,1204842
215053,Pennsylvania College of Art and Design,4305650,7144907,0,13833773,3290987,3138308,9168415,1374371,842047,532324,10542786,5347749,5091853,46816,302712,10240074,0,10542786,65334
442356,Pennsylvania College of Health Sciences,1501828,6772081,0,17230826,3744809,1168750,10406845,3079172,2714316,364856,13486017,23876514,20187649,0,3688865,9797152,0,13486017,260037
219842,Pentecostal Theological Seminary,14408278,3769382,0,19063682,84311,0,4008707,14970664,14534941,435723,18979371,2381986,3955514,1333708,-239820,19219191,0,18979371,5910
121150,Pepperdine University,954569000,362409000,0,1450134000,373167000,238750000,630777000,446190000,327585000,118605000,1076967000,354124000,287612000,6213000,72725000,1004242000,0,1076967000,51693000
199306,Pfeiffer University,16421592,24213460,0,48046498,22297947,17443551,7308373,18440178,14482586,3957592,25748551,27392845,25534945,0,1857900,23890651,0,25748551,2074122
215123,Philadelphia College of Osteopathic Medicine,164782353,63602414,0,367297642,66295033,0,271435550,29567059,11130563,18436496,301002609,119549101,102925190,31084656,47708567,253294042,0,301002609,5122280
215099,Philadelphia University,31659332,134908579,0,216977897,89518721,73334638,92871449,34587727,13139726,21448001,127459176,99194244,87094269,0,12099975,115359201,0,127459176,3917217
107600,Philander Smith College,9624110,38657335,0,52626406,20300866,16089683,17777805,14547735,7948588,6599147,32325540,17176299,17076336,0,99963,32225577,0,32325540,1128718
110307,Phillips Graduate Institute,0,391354,0,4015000,3141505,229100,854227,19268,10000,9268,873495,6704612,6589034,0,115578,757917,0,873495,6852
414966,Phillips Theological Seminary,45554386,7008178,8904,61191354,139255,0,10032746,51019353,25470419,25548934,61052099,7546869,4124964,0,3421905,57630194,0,61052099,4501271
381459,Phoenix Seminary,2142297,9003217,0,15838778,7438520,6797967,3230684,5169574,1369640,3799934,8400258,4411895,5011398,0,-599503,8999761,0,8400258,25204
140818,Piedmont College,52755644,67404664,0,133527657,13925274,11031812,108492237,11110146,4744999,6365147,119602383,35931361,30869350,0,5062011,114540372,0,119602383,6081574
