"unitid","institution name","year","F0809_F2_RV.Private gifts - Total","DRVF2009_RV.Tuition and fees as a percent of core revenues (FASB)","DRVF2009_RV.Endowment assets (year end) per FTE enrollment (FASB)"
"161004","Bowdoin College","2009","46336000",,"403744"
"161086","Colby College","2009","16682000",,"226722"
"161165","Husson University","2009",,"98","2117"
"161457","University of New England","2009",,"93","5275"
"161509","Maine College of Art","2009","1188306","84","10782"
"161518","Saint Joseph's College of Maine","2009","1111750","94","4128"
"161563","Thomas College","2009",,"106","7218"
"161572","Unity College","2009","128407","98","4937"
"162061","Capitol College","2009",,"77","5223"
"162210","Washington Adventist University","2009",,"43","4128"
"162654","Goucher College","2009","7069000",,"81662"
"162760","Hood College","2009","6298640","104","26426"
"162928","Johns Hopkins University","2009",,"17","100616"
"163046","Loyola University Maryland","2009",,"141","23318"
"163295","Maryland Institute College of Art","2009",,"107","25987"
"163462","Mount St Mary's University","2009",,"90","17844"
"163532","Ner Israel Rabbinical College","2009",,"14",
"163578","Notre Dame of Maryland University","2009",,"118","14166"
"163921","Sojourner-Douglass College","2009",,"57",
"163976","St John's College","2009",,"94","105667"
"164085","Maryland University of Integrative Health","2009",,"134","1679"
"164173","Stevenson University","2009","0","109","13007"
"164216","Washington College","2009",,"174","92882"
"164270","McDaniel College","2009","3475000","106","24616"
"164368","Hult International Business School","2009",,,
"164447","American International College","2009",,"89","2639"
"164465","Amherst College","2009",,,"779203"
"164474","Andover Newton Theological School","2009",,,"129365"
"164492","Anna Maria College","2009","298593","85","391"
"164562","Assumption College","2009",,"85","23173"
"164580","Babson College","2009","22540112","114","52998"
"164614","Boston Baptist College","2009","439696","55",
"164632","Bay Path College","2009",,"109","11424"
"164720","Becker College","2009",,"95","835"
"164739","Bentley University","2009",,"175","31705"
"164748","Berklee College of Music","2009",,"170","45915"
"164872","Boston Architectural College","2009","250507","88","5510"
"164915","Boston Graduate School of Psychoanalysis Inc","2009",,"99",
"164924","Boston College","2009","150816997","215","112050"
"164933","The Boston Conservatory","2009",,"85","6792"
"164988","Boston University","2009",,"66","29872"
"165015","Brandeis University","2009",,"87","93538"
"165167","Cambridge College","2009","1539983","94","2412"
