UnitID,Institution Name,Long-term investments (F1112_F2_RV),Property  Plant  and Equipment  net of accumulated depreciation (F1112_F2_RV),Intangible Assets  net of accumulated amortization (F1112_F2_RV),Total assets (F1112_F2_RV),Total liabilities (F1112_F2_RV),Debt related to Property  Plant  and Equipment (F1112_F2_RV),Total unrestricted net assets (F1112_F2_RV),Total restricted net assets (F1112_F2_RV),Permanently restricted net assets included in total restricted net assets (F1112_F2_RV),Temporarily restricted net assets (F1112_F2_RV),Total net assets (F1112_F2_RV),Total revenues and investment return (F1112_F2_RV),Total expenses (F1112_F2_RV),Other specific changes in net assets (F1112_F2_RV),Total change in net assets (F1112_F2_RV),Net assets  beginning of the year (F1112_F2_RV),Adjustments to beginning of year net assets (F1112_F2_RV),Net assets  end of the year (F1112_F2_RV),Investment return - Total (F1112_F2_RV)
455804,Institute of World Politics,2225991,82523,48066,5416180,1226338,0,2163501,2026341,1474420,551921,4189842,5232632,4916073,0,316559,3873282,1,4189842,191305
140146,Interdenominational Theological Center,11444252,4540671,0,18612420,1096161,0,5323424,12192835,8249374,3943461,17516259,6744202,9049461,4227799,1922540,19438799,-3845080,17516259,310206
436614,International Baptist College and Seminary,0,0,0,309820,31367,0,212173,66280,0,66280,278453,1032214,1239888,24755,-182919,272453,188919,278453,0
191931,Iona College,63141000,103047000,0,187703000,51813000,25243000,110530000,25360000,15914000,9446000,135890000,96572000,94410000,0,2162000,133728000,0,135890000,-260000
153621,Iowa Wesleyan College,10704379,25414634,277119,44203033,15493570,11957535,13556575,15152888,13092009,2060879,28709463,14595870,14196345,0,399525,28309938,0,28709463,-571874
191968,Ithaca College,203280583,365212700,0,686319224,262436900,185056216,287541404,136340920,36154635,100186285,423882324,203698920,208457788,0,-4758868,428641192,0,423882324,-16982016
134945,Jacksonville University,55783489,97866182,0,171205635,81527867,63000000,33797979,55879789,36362815,19516974,89677768,71995034,68339618,-4808653,-1153237,90831005,0,89677768,22162
225885,Jarvis Christian College,23655519,17412440,0,45253331,16512783,0,16861939,11878609,11585404,293205,28740548,11991476,11930450,0,61026,12637036,16042486,28740548,129465
231837,Jefferson College of Health Sciences,26128946,568301,0,29825999,3983006,0,23909510,1933483,412395,1521088,25842993,21500352,21714132,0,-213780,26056773,0,25842993,-189221
192040,Jewish Theological Seminary of America,88007024,37938954,0,144387490,31864929,15023818,-14688829,127211390,102102488,25108902,112522561,34856729,37371953,385607,-2129617,114652178,0,112522561,3993264
107141,John Brown University,74066415,77967878,0,186975704,15086509,9003916,85609481,86279714,66144356,20135358,171889195,52979987,44210702,0,8769285,163119910,0,171889195,1393236
203368,John Carroll University,186041030,177595501,0,386855245,87112986,65527952,185748643,113993616,82817221,31176395,299742259,81316951,86988097,0,-5671146,305413405,0,299742259,-4498925
116712,John F Kennedy University,4038597,16213008,0,31404795,19384058,0,8626299,3394438,1829459,1564979,12020737,24991931,24918129,0,73802,11946935,0,12020737,-62916
462354,John Paul the Great Catholic University,0,277374,0,1324877,293381,0,884370,147126,30000,117126,1031496,3192633,3162163,0,30470,1001026,0,1031496,1233
162928,Johns Hopkins University,3596008000,2103275000,0,7815285000,3462511000,1032237000,1899596000,2453178000,1455023000,998155000,4352774000,4520029000,4445646000,-184402000,-110019000,4462793000,0,4352774000,65052000
445708,Johnson & Wales University-Charlotte,,,,,,,,,,,,,,,,,,,
439288,Johnson & Wales University-Denver,,,,,,,,,,,,,,,,,,,
414823,Johnson & Wales University-North Miami,,,,,,,,,,,,,,,,,,,
460349,Johnson & Wales University-Online,,,,,,,,,,,,,,,,,,,
217235,Johnson & Wales University-Providence,246980424,529039516,30000,854464395,211253639,156053158,614839281,28371475,19616920,8754555,643210756,338224693,331799383,-2259044,4166266,639044490,0,643210756,-6239253
198756,Johnson C Smith University,50254408,38976944,0,137308181,13454054,7437060,43927885,79926242,33386730,46539512,123854127,73215283,44080841,0,29134442,94719685,0,123854127,815104
220473,Johnson University,109402849,37359188,0,150376048,27641138,0,64887919,57846991,57349840,497151,122734910,13014147,18757722,0,-5743575,128478485,0,122734910,-907180
132879,Johnson University Florida,844650,4760060,0,6298577,7473016,5931675,-3099240,1924801,1025734,899067,-1174439,5711427,5917308,-90794,-296675,-794764,-83000,-1174439,-90794
135063,Jones College-Jacksonville,252379,3342227,0,5949492,811786,0,5137706,0,0,0,5137706,5697014,5938797,-1,-241784,5379523,-33,5137706,3103
101541,Judson College,14840592,13213551,216341,31098291,14694716,0,3369530,13034045,10929667,2104378,16403575,8358849,9080267,-1507388,-2228806,18632381,0,16403575,-20333
146339,Judson University,12196031,41175299,0,58095158,13523586,7705378,31986914,12584658,6607283,5977375,44571572,23822950,24008026,0,-185076,44756648,0,44571572,578351
461139,Jung Tao School of Classical Chinese Medicine,0,23616,0,193902,19246,0,174656,0,0,0,174656,642516,642516,97766,97766,76890,0,174656,388
213251,Juniata College,66306428,68893363,0,170746001,54039927,35995351,42317953,74388121,57932549,16455572,116706074,51090417,52678684,0,-1588267,118294341,0,116706074,1413985
170532,Kalamazoo College,172067905,69646906,0,320643029,76723047,35505000,63809749,180110233,104240698,75869535,243919982,63732559,54881919,0,8850640,215239211,19830131,243919982,-1800744
177746,Kansas City Art Institute,51878931,20432271,939173,85875164,16599019,11771284,23265081,46011064,34836455,11174609,69276145,18949202,18363728,0,585474,68690671,0,69276145,17072
179812,Kansas City University of Medicine and Biosciences,10610304,48190276,0,161027042,24092318,6645000,129273437,7661287,5180637,2480650,136934724,41307069,38793877,245085,2758277,134176447,0,136934724,-4269807
155414,Kansas Wesleyan University,22714934,23364497,57145,51465643,7432151,4392557,21980006,22053486,17859423,4194063,44033492,15887229,14754565,-325987,806677,42900828,325987,44033492,166648
440031,Keck Graduate Institute,52423006,11371905,0,67724984,15612588,8427755,14035794,38076602,29333630,8742972,52112396,9460038,14711701,404415,-4847248,56959644,0,52112396,346508
192165,Kehilath Yakov Rabbinical Seminary,6825,1638559,0,1829503,170255,0,1659248,0,0,0,1659248,1006180,901928,-46328,57924,1601324,0,1659248,0
135081,Keiser University-Ft Lauderdale,0,10102688,542824359,603839222,356813294,0,247025928,0,0,0,247025928,319193990,293547117,221379055,247025928,0,0,247025928,575598
177816,Kenrick Glennon Seminary,16426470,30429342,0,66742739,4087939,0,33505902,29148898,12705042,16443856,62654800,6285526,7550747,0,-1265221,64591808,-671787,62654800,-309548
157100,Kentucky Christian University,5672257,18616069,0,30056833,9967273,7104093,13153008,6936552,5262800,1673752,20089560,17228974,16234364,0,994610,19094950,0,20089560,-162079
157030,Kentucky Mountain Bible College,1898520,1636315,0,4019547,220716,0,2625839,1172992,1172992,0,3798831,1482739,1238923,329410,573226,3884425,-658820,3798831,107935
157076,Kentucky Wesleyan College,21777661,18037638,117157,47028451,10775698,5686832,5175600,31077153,29523987,1553166,36252753,14608444,15019663,-2786697,-3197916,39450669,0,36252753,762163
203535,Kenyon College,360859777,236564563,0,647870845,222774845,187518457,247390479,177705521,146244500,31461021,425096000,97802114,98559373,-20192,-777451,425873451,0,425096000,11747405
203544,Kettering College,,,,,,,,,,,,,,,,,,,0
169983,Kettering University,70779245,68481812,0,156485114,28916376,23568394,67187715,60381023,43152152,17228871,127568738,45847906,50902703,0,-5054797,132623535,0,127568738,-1080862
192192,Keuka College,13074315,28416923,0,48116596,21313994,12980082,17403711,9398891,7644980,1753911,26802602,36981341,37176051,57142,-137568,26940170,0,26802602,252472
213303,Keystone College,9570061,20855330,0,32892341,18576063,0,6371619,7944659,6532620,1412039,14316278,25690654,26625742,0,-935088,15251366,0,14316278,-1157578
220516,King University,32168560,18660937,0,60040014,10503501,0,14582398,34954115,31058949,3895166,49536513,24675711,24854825,0,-179114,49715627,0,49536513,-389044
213321,King's College,49512080,83489880,368537,145642545,48760736,32115000,50595044,46286765,30183323,16103442,96881809,54093079,56410480,0,-2317401,99199210,0,96881809,-1567813
439701,King's University,4570698,497838,497527,5566063,355285,0,3373837,1836941,1482978,353963,5210778,5297452,4915285,0,382167,4828611,0,5210778,77487
260956,Knowledge Systems Institute,234069,463463,0,1358970,6072,0,1118829,234069,0,234069,1352898,794232,604586,0,189646,1163252,0,1352898,11357
146427,Knox College,88328109,39693208,0,142853498,53016424,24700000,16373823,73463251,59016283,14446968,89837074,50620380,45817889,161900,4964391,84872683,0,89837074,1382161
171881,Kuyper College,3017575,6808219,0,11868847,2459647,112278,767310,8641890,7614062,1027828,9409200,6064894,6617043,0,-552149,9961349,0,9409200,-75455
213358,La Roche College,4415278,27891835,0,38270266,30144348,21188388,2778848,5347070,2366925,2980145,8125918,26937953,24913744,0,2024209,6101709,0,8125918,335630
213367,La Salle University,70881639,133352205,0,247913025,164216089,127595000,48695511,35001425,21208224,13793201,83696936,129605578,130238555,0,-632977,84329913,0,83696936,-1843257
117627,La Sierra University,53895595,55400920,0,145429478,39169731,22910127,69923666,36336081,14643533,21692548,106259747,69410806,65213930,-649122,3547754,102061993,650000,106259747,-2873381
165264,Laboure College,2173884,275594,0,9834836,3923954,0,3938565,1972317,1168316,804001,5910882,10257049,9460154,0,796895,5113987,0,5910882,53582
